title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,skills,company_website,company_size,company_industry,company_address,company_description,source,id,site,job_url_direct,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
Embedded Linux & RTOS Developer @ Robotics Startup,Embedded Linux & RTOS Developer @ Robotics Startup,https://itviec.com/it-jobs/embedded-linux-rtos-developer-robotics-startup-onesec-2349?lab_feature=preview_jd_page,,,,,,Login to view,"['Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam, District 1, Ho Chi Minh']","Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam, District 1, Ho Chi Minh",,,,"Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam, District 1, Ho Chi Minh",,,,,"C++, Embedded",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Python Technical Lead (Cloud, FastAPI, Django)","Python Technical Lead (Cloud, FastAPI, Django)",https://itviec.com/it-jobs/python-technical-lead-cloud-fastapi-django-vsol-5753?lab_feature=preview_jd_page,,,,,,Login to view,"['Glory Home Building, 3rd Floor, 215 B10 Nguyen Van Huong Street, An Khanh Ward, Thu Duc City, Ho Chi Minh']","Glory Home Building, 3rd Floor, 215 B10 Nguyen Van Huong Street, An Khanh Ward, Thu Duc City, Ho Chi Minh",,,,"Glory Home Building, 3rd Floor, 215 B10 Nguyen Van Huong Street, An Khanh Ward, Thu Duc City, Ho Chi Minh",,,,,"Python, FastAPI, PostgreSql, Cloud, DevOps, Django",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
.NET Tech Lead,.NET Tech Lead,https://itviec.com/it-jobs/net-tech-lead-ngan-hang-a-chau-acb-2840?lab_feature=preview_jd_page,,,,,,Login to view,"['442  Nguyễn Thị Minh Khai, District 3, Ho Chi Minh']","442  Nguyễn Thị Minh Khai, District 3, Ho Chi Minh",,,,"442  Nguyễn Thị Minh Khai, District 3, Ho Chi Minh",,,,,"Software Architecture, Docker, SQL, Microservices, ReactJS, .NET",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Engineer - AGI,Quality Engineer - AGI,https://itviec.com/it-jobs/quality-engineer-agi-trusting-social-5013?lab_feature=preview_jd_page,,,,,,Login to view,"['Havana Tower - 132 Ham Nghi, District 1, Ho Chi Minh']","Havana Tower - 132 Ham Nghi, District 1, Ho Chi Minh",,,,"Havana Tower - 132 Ham Nghi, District 1, Ho Chi Minh",,,,,"QA QC, Automation Test, JavaScript, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embedded Software Architect,Embedded Software Architect,https://itviec.com/it-jobs/embedded-software-architect-bosch-global-software-technologies-company-limited-4331?lab_feature=preview_jd_page,,,,,,Login to view,"['364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh']","364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh",,,,"364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh",,,,,"Embedded Android, C language, C++, Android, Embedded C, Embedded",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backend Developer (NodeJS, Goalng, Python, API, MySQL)","Backend Developer (NodeJS, Goalng, Python, API, MySQL)",https://itviec.com/it-jobs/backend-developer-nodejs-goalng-python-api-mysql-unity-sport-jsc-2152?lab_feature=preview_jd_page,,,,,,Login to view,"['5th Floor – Lumiere Building, 628A Vo Nguyen Giap street, An Phu Ward , Thu Duc City, Ho Chi Minh']","5th Floor – Lumiere Building, 628A Vo Nguyen Giap street, An Phu Ward , Thu Duc City, Ho Chi Minh",,,,"5th Floor – Lumiere Building, 628A Vo Nguyen Giap street, An Phu Ward , Thu Duc City, Ho Chi Minh",,,,,"NodeJS, API, Kubernetes, Golang, MySQL, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior RPA Developer (Power Automate/Python/Dify.ai),Senior RPA Developer (Power Automate/Python/Dify.ai),https://itviec.com/it-jobs/senior-rpa-developer-power-automate-python-dify-ai-ambition-vietnam-2850?lab_feature=preview_jd_page,,,,,,Login to view,"['7th floor, Loyal building, 151 Võ Thị Sáu, phường Võ Thị Sáu, quận 3, TPHCM, District 3, Ho Chi Minh']","7th floor, Loyal building, 151 Võ Thị Sáu, phường Võ Thị Sáu, quận 3, TPHCM, District 3, Ho Chi Minh",,,,"7th floor, Loyal building, 151 Võ Thị Sáu, phường Võ Thị Sáu, quận 3, TPHCM, District 3, Ho Chi Minh",,,,,"Power Automate, LLM, Robotic Process Automation (RPA), Database, AI, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Backend Platform Developer (Python/ Golang),Senior Backend Platform Developer (Python/ Golang),https://itviec.com/it-jobs/senior-backend-platform-developer-python-golang-olli-1601?lab_feature=preview_jd_page,,,,,,Login to view,"['96 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, District 3, Ho Chi Minh']","96 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, District 3, Ho Chi Minh",,,,"96 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, District 3, Ho Chi Minh",,,,,"Python, AI, AWS, Kubernetes, DevOps, Golang",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Odoo Developer (Python),Senior Odoo Developer (Python),https://itviec.com/it-jobs/senior-odoo-developer-python-golden-friend-2449?lab_feature=preview_jd_page,,,,,,Login to view,"['Tầng 1, Vincom Cộng Hòa, 15-17 Cộng Hòa, Phường 4, Tan Binh, Ho Chi Minh']","Tầng 1, Vincom Cộng Hòa, 15-17 Cộng Hòa, Phường 4, Tan Binh, Ho Chi Minh",,,,"Tầng 1, Vincom Cộng Hòa, 15-17 Cộng Hòa, Phường 4, Tan Binh, Ho Chi Minh",,,,,"Odoo, HTML, PostgreSql, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMOTE - Backend Developer (Java/Python),REMOTE - Backend Developer (Java/Python),https://itviec.com/it-jobs/remote-backend-developer-java-python-elisoft-3851?lab_feature=preview_jd_page,,,,,,Login to view,"['Remote, Ba Dinh, Ha Noi']","Remote, Ba Dinh, Ha Noi",,,,"Remote, Ba Dinh, Ha Noi",,,,,"Java, English, API, Microservices, Spring Boot, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
